P1	1	17	33	49	65	81
P2	3	19	35	51	67	83
P3	5	21	37	53	69	85
P4	7	23	39	55	71	87
P5	9	25	41	57	73	89
P6	11	27	43	59	75	91
P7	13	29	45	61	77	93
P8	15	31	47	63	79	95
P9	2	18	34	50	66	82
P10	4	20	36	52	68	84
P11	6	22	38	54	70	86
P12	8	24	40	56	72	88
P13	10	26	42	58	74	90
P14	12	28	44	60	76	92
P15	14	30	46	62	78	94
P16	16	32	48	64	80	96
P17	97	113	129	145	161	177
P18	99	115	131	147	163	179
P19	101	117	133	149	165	181
P20	103	119	135	151	167	183
P21	105	121	137	153	169	185
P22	107	123	139	155	171	187
P23	109	125	141	157	173	189
P24	111	127	143	159	175	191
P25	98	114	130	146	162	178
P26	100	116	132	148	164	180
P27	102	118	134	150	166	182
P28	104	120	136	152	168	184
P29	106	122	138	154	170	186
P30	108	124	140	156	172	188
P31	110	126	142	158	174	190
P32	112	128	144	160	176	192
P33	193	209	225	241	257	273
P34	195	211	227	243	259	275
P35	197	213	229	245	261	277
P36	199	215	231	247	263	279
P37	201	217	233	249	265	281
P38	203	219	235	251	267	283
P39	205	221	237	253	269	285
P40	207	223	239	255	271	287
P41	194	210	226	242	258	274
P42	196	212	228	244	260	276
P43	198	214	230	246	262	278
P44	200	216	232	248	264	280
P45	202	218	234	250	266	282
P46	204	220	236	252	268	284
P47	206	222	238	254	270	286
P48	208	224	240	256	272	288
P49	289	305	321	337	353	369
P50	291	307	323	339	355	371
P51	293	309	325	341	357	373
P52	295	311	327	343	359	375
P53	297	313	329	345	361	377
P54	299	315	331	347	363	379
P55	301	317	333	349	365	381
P56	303	319	335	351	367	383
P57	290	306	322	338	354	370
P58	292	308	324	340	356	372
P59	294	310	326	342	358	374
P60	296	312	328	344	360	376
P61	298	314	330	346	362	378
P62	300	316	332	348	364	380
P63	302	318	334	350	366	382
P64	304	320	336	352	368	384
P65	385	401	417	433	449	465
P66	387	403	419	435	451	467
P67	389	405	421	437	453	469
P68	391	407	423	439	455	471
P69	393	409	425	441	457	473
P70	395	411	427	443	459	475
P71	397	413	429	445	461	477
P72	399	415	431	447	463	479
P73	386	402	418	434	450	466
P74	388	404	420	436	452	468
P75	390	406	422	438	454	470
P76	392	408	424	440	456	472
P77	394	410	426	442	458	474
P78	396	412	428	444	460	476
P79	398	414	430	446	462	478
P80	400	416	432	448	464	480
P81	481	497	513	529	545	561
P82	483	499	515	531	547	563
P83	485	501	517	533	549	565
P84	487	503	519	535	551	567
P85	489	505	521	537	553	569
P86	491	507	523	539	555	571
P87	493	509	525	541	557	573
P88	495	511	527	543	559	575
P89	482	498	514	530	546	562
P90	484	500	516	532	548	564
P91	486	502	518	534	550	566
P92	488	504	520	536	552	568
P93	490	506	522	538	554	570
P94	492	508	524	540	556	572
P95	494	510	526	542	558	574
P96	496	512	528	544	560	576
P97	577	593	609	625	641	657
P98	579	595	611	627	643	659
P99	581	597	613	629	645	661
P100	583	599	615	631	647	663
P101	585	601	617	633	649	665
P102	587	603	619	635	651	667
P103	589	605	621	637	653	669
P104	591	607	623	639	655	671
P105	578	594	610	626	642	658
P106	580	596	612	628	644	660
P107	582	598	614	630	646	662
P108	584	600	616	632	648	664
P109	586	602	618	634	650	666
P110	588	604	620	636	652	668
P111	590	606	622	638	654	670
P112	592	608	624	640	656	672
P113	673	689	705	721	737	753
P114	675	691	707	723	739	755
P115	677	693	709	725	741	757
P116	679	695	711	727	743	759
P117	681	697	713	729	745	761
P118	683	699	715	731	747	763
P119	685	701	717	733	749	765
P120	687	703	719	735	751	767
P121	674	690	706	722	738	754
P122	676	692	708	724	740	756
P123	678	694	710	726	742	758
P124	680	696	712	728	744	760
P125	682	698	714	730	746	762
P126	684	700	716	732	748	764
P127	686	702	718	734	750	766
P128	688	704	720	736	752	768
P129	769	785	801	817	833	849
P130	771	787	803	819	835	851
P131	773	789	805	821	837	853
P132	775	791	807	823	839	855
P133	777	793	809	825	841	857
P134	779	795	811	827	843	859
P135	781	797	813	829	845	861
P136	783	799	815	831	847	863
P137	770	786	802	818	834	850
P138	772	788	804	820	836	852
P139	774	790	806	822	838	854
P140	776	792	808	824	840	856
P141	778	794	810	826	842	858
P142	780	796	812	828	844	860
P143	782	798	814	830	846	862
P144	784	800	816	832	848	864
P145	865	881	897	913	929	945
P146	867	883	899	915	931	947
P147	869	885	901	917	933	949
P148	871	887	903	919	935	951
P149	873	889	905	921	937	953
P150	875	891	907	923	939	955
P151	877	893	909	925	941	957
P152	879	895	911	927	943	959
P153	866	882	898	914	930	946
P154	868	884	900	916	932	948
P155	870	886	902	918	934	950
P156	872	888	904	920	936	952
P157	874	890	906	922	938	954
P158	876	892	908	924	940	956
P159	878	894	910	926	942	958
P160	880	896	912	928	944	960
